,Character,Series,Release Date,Uhrzeit,Wishlist
1773,Gene Fini,Eiga Daisuki Pompo-san,22.10.2023,4:10,
1774,Kineshi Hairo,The Disastrous Life of Saiki K.,22.10.2023,4:20,
1775,Madara Mikejima,Ensemble Stars!,22.10.2023,4:40,
1776,Legato Bluesummers,Trigun,22.10.2023,4:50,
1777,Red-Eyes Black Dragon,Yu-Gi-Oh! Duel Monsters,22.10.2023,5:10,
1778,Yui,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",22.10.2023,5:20,
1779,Hina Amano,Weathering with You,22.10.2023,5:40,❤️ 144
1780,Lysithea von Ordelia,Fire Emblem: Three Houses,22.10.2023,6:00,
1781,Crona,Soul Eater,22.10.2023,6:10,❤️ 221
1782,Uryoku Chouno,The Disastrous Life of Saiki K.,22.10.2023,6:30,
1783,Escanor,The Seven Deadly Sins: Signs of Holy War,22.10.2023,6:40,❤️ 282
1784,Sol,Neural Cloud,22.10.2023,7:00,
1785,Chitose Kaginoji,Tonikaku Kawaii,22.10.2023,7:10,
1786,Black Hanekawa,Bakemonogatari,22.10.2023,7:30,❤️ 208
1787,Guts,Berserk,22.10.2023,8:00,❤️ 1449
1788,Urushi Yaotome,When Will Ayumu Make His Move?,22.10.2023,8:10,
1789,Natsume Hyuuga,Gakuen Alice,22.10.2023,8:30,
1790,Kanetatsu Naoe,Orient,22.10.2023,8:40,
1791,Ost Hourai,The Rising of the Shield Hero 2nd Season,22.10.2023,9:00,
1792,Hiyori Iki,Noragami,22.10.2023,9:20,
1793,Crusty,Log Horizon,22.10.2023,9:30,
1794,Mika Iwakura,Serial Experiments Lain,22.10.2023,9:50,
1795,Kyouko Hori,Horimiya,22.10.2023,10:00,❤️ 1429
1796,Nadeko Sengoku,Bakemonogatari,22.10.2023,10:20,❤️ 109
1797,Aliya Mahvash,Mobile Suit Gundam: The Witch from Mercury,22.10.2023,10:30,
1798,Flock Harbor,Doraemon: Nobita's Treasure Island,22.10.2023,10:50,
1799,Fuuma,Senran Kagura: New Wave,22.10.2023,11:20,
1800,Tsumugi Wenders,Summer Pockets,22.10.2023,11:30,
1801,Orpheus In The Underworld,takt op.Destiny,22.10.2023,11:50,
1802,Tsubasa Okui,TsukiPro the Animation,22.10.2023,12:00,
1803,Lyria,Granblue Fantasy the Animation,22.10.2023,12:20,
1804,Hambrabi,Mobile Suit Zeta Gundam,22.10.2023,12:30,
1805,Tail Yellow,Gonna be the Twin-Tail!!,22.10.2023,12:50,
1806,Sailor Uranus,Sailor Moon S,22.10.2023,13:10,
1807,Vlad Dracula Tepes,Castlevania,22.10.2023,13:20,❤️ 104
1808,Martin Upmont,Mobile Suit Gundam: The Witch from Mercury,22.10.2023,13:40,
1809,Azusa Nakano,K-On!,22.10.2023,13:50,❤️ 142
1810,Toubaru-sensei,Aharen-san wa Hakarenai,22.10.2023,14:10,
1811,Atsushi Nakajima,Bungou Stray Dogs,22.10.2023,14:20,❤️ 273
1812,Shea Haulia,Arifureta: From Commonplace to World's Strongest,22.10.2023,14:40,
1813,Byakuya Kuchiki,Bleach,22.10.2023,15:10,❤️ 212
1814,Sven Vollfied,Black Cat,22.10.2023,15:20,
1815,Zen,Mystic Messenger,22.10.2023,15:40,❤️ 160
1816,Yashiro Isana,K-Project,22.10.2023,15:50,
1817,Hotaru Imai,Gakuen Alice,22.10.2023,16:10,
1818,Andrew Hanbridge,Little Witch Academia TV,22.10.2023,16:30,
1819,Yugi Mutou,Yu-Gi-Oh! Duel Monsters,22.10.2023,17:10,❤️ 103
1820,Estonia,Hetalia: Axis Powers,22.10.2023,17:40,
1821,Aruto Fushibe,D_Cide Traumerei,22.10.2023,18:10,
1822,Bebin,Ousama Ranking,22.10.2023,18:30,
1823,Zwei,Phantom: Requiem for the Phantom,22.10.2023,18:40,
1824,Mirio Togata,My Hero Academia 3,22.10.2023,19:00,❤️ 141
1825,Fir,Fire Emblem: The Binding Blade,22.10.2023,19:10,
1826,Olivia,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,22.10.2023,19:30,
1827,Crowley Eusford,Seraph of the End: Battle in Nagoya,22.10.2023,19:50,
1828,Mea Kurosaki,To Love Ru: Darkness,22.10.2023,20:00,
1829,Kureto Hiiragi,Seraph of the End: Battle in Nagoya,22.10.2023,20:20,
1830,Naoise,Granblue Fantasy,22.10.2023,20:30,
1831,Sophie Pulone,Mobile Suit Gundam: The Witch from Mercury,22.10.2023,20:50,
1832,Aileen Lauren Dautriche,"I'm the Villainess, So I'm Taming the Final Boss",22.10.2023,20:53,
1833,Almond,"I'm the Villainess, So I'm Taming the Final Boss",22.10.2023,20:53,
1834,Auguste Zelm,"I'm the Villainess, So I'm Taming the Final Boss",22.10.2023,20:53,
1835,Cedric Jeanne Elmir,"I'm the Villainess, So I'm Taming the Final Boss",22.10.2023,20:53,
1836,Isaac Lombard,"I'm the Villainess, So I'm Taming the Final Boss",22.10.2023,20:53,
1837,Keith Eigrid,"I'm the Villainess, So I'm Taming the Final Boss",22.10.2023,20:53,
1838,Lilia Rainworth,"I'm the Villainess, So I'm Taming the Final Boss",22.10.2023,20:53,
1839,Carol Olston,Tomo-chan Is a Girl!,22.10.2023,20:53,
1840,Chiyomi Ogawa,Tomo-chan Is a Girl!,22.10.2023,20:53,
1841,Kousuke Misaki,Tomo-chan Is a Girl!,22.10.2023,20:53,
1842,Misuzu Gundou,Tomo-chan Is a Girl!,22.10.2023,20:53,❤️ 121
1843,Naoko Mifune,Tomo-chan Is a Girl!,22.10.2023,20:53,
1844,Tomo Aizawa,Tomo-chan Is a Girl!,22.10.2023,20:53,❤️ 335
1845,Cater Diamond,Twisted Wonderland,22.10.2023,21:00,
1846,Yelsy,Tales of Luminaria,22.10.2023,21:20,
1847,Sirin,Honkai Impact 3rd,22.10.2023,21:30,
1848,Bulma,Dragon Ball,22.10.2023,22:00,❤️ 92
1849,Kohaku,Tsukihime,22.10.2023,22:20,
1850,Marika Mizushima,D4DJ First Mix,22.10.2023,22:30,
1851,Satoshi Fukube,Hyouka,22.10.2023,22:50,
1852,Leila Malcal,Code Geass Gaiden: Boukoku no Akito,22.10.2023,23:10,
1853,Mori Calliope,Hololive EN,22.10.2023,23:20,❤️ 1008
1854,Kaedehara Kazuha,Genshin Impact,22.10.2023,23:40,❤️ 2303
1855,Guiltia Brion,Visual Prison,22.10.2023,23:50,
1856,Izaya Orihara,Durarara!!,23.10.2023,0:10,❤️ 98
1857,Akemi Souryuuin,How Heavy Are the Dumbbells You Lift?,23.10.2023,0:20,
1858,Batutta,How NOT to Summon a Demon Lord Omega,23.10.2023,0:40,
1859,Terry Sanders Jr.,Mobile Suit Gundam 08th MS Team,23.10.2023,0:50,
1860,Natsumi Koshigaya,Non Non Biyori,23.10.2023,1:10,
1861,Prospera Mercury,Mobile Suit Gundam: The Witch from Mercury,23.10.2023,2:10,
1862,Nanamine Sakura,Toilet-Bound Hanako-kun,23.10.2023,2:20,❤️ 103
1863,Retsu Unohana,Bleach,23.10.2023,2:40,❤️ 340
1864,Eishiro Sugata,Heaven's Lost Property,23.10.2023,3:00,
1865,Aoi Satsuki,Tsukiuta. The Animation,23.10.2023,3:10,
1866,Donatello Versus,JoJo's Bizarre Adventure: Stone Ocean,23.10.2023,3:30,
1867,Kazuki Yasaka,Sarazanmai,23.10.2023,3:40,
1868,Rei Nobarashi,Vampire in the Garden,23.10.2023,4:00,
1869,Lambo,REBORN!,23.10.2023,4:10,
1870,Chikage Kazama,Hakuouki: Demon of the Fleeting Blossom,23.10.2023,4:30,
1871,Sen,Granblue Fantasy,23.10.2023,4:40,
1872,Masanori Myoujin,Shikizakura,23.10.2023,5:00,
1873,Isaac,Castlevania Season 2,23.10.2023,5:10,
1874,Kabuto Hanadori,A Destructive God Sits Next to Me,23.10.2023,5:30,
1875,Satou Matsuzaka,Happy Sugar Life,23.10.2023,5:40,❤️ 114
1876,Sonic the Hedgehog,Sonic X,23.10.2023,6:00,❤️ 224
1877,Rin Shima,Laid-Back Camp,23.10.2023,6:20,❤️ 119
1878,Elephas Levi,"I'm the Villainess, So I'm Taming the Final Boss",23.10.2023,6:30,
1879,Kumiko Oumae,Sound! Euphonium,23.10.2023,6:50,
1880,Diego,Dead or Alive 6,23.10.2023,7:00,
1881,Vil Schoenheit,Twisted Wonderland,23.10.2023,7:20,
1882,Subaru Shiro,Tsubasa Reservoir Chronicle: Tokyo Revelations,23.10.2023,7:30,
1883,Makoto Sawatari,Kanon (2006),23.10.2023,7:50,
1884,Mitsuki Aoi,BONJOUR Sweet Love Pâtisserie,23.10.2023,8:00,
1885,Cloe,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,23.10.2023,8:20,
1886,Nodoka Haramura,Saki,23.10.2023,8:30,
1887,Serara,Log Horizon,23.10.2023,9:00,
1888,Saejima Taiga,Yakuza 4,23.10.2023,9:20,
1889,Matsuzaki,The Disastrous Life of Saiki K.,23.10.2023,9:40,
1890,Kafka Hibino,Kaiju No. 8,23.10.2023,9:50,❤️ 170
1891,Zoe Baker,Resident Evil 7: Biohazard,23.10.2023,10:10,
1892,Nao Houtani,Higurashi When They Cry: Mei,23.10.2023,10:20,
1893,Kururu Hiiragi,Mankitsu Happening,23.10.2023,10:40,
1894,Aoi Kiriya,Aikatsu!,23.10.2023,10:50,
1895,Otona Mitsuki,Mankitsu Happening,23.10.2023,11:10,
1896,Cynthia Moore,Great Pretender,23.10.2023,11:40,
1897,Ash's Pikachu,Pokémon,23.10.2023,12:10,❤️ 190
1898,Chiko Sekino,Dropout Idol Fruit Tart,23.10.2023,12:20,
1899,Genousai Yanagi,Mononoke,23.10.2023,12:40,
1900,Kanonno Pasca,Tales of the World: Radiant Mythology,23.10.2023,13:00,
1901,Natsumi Oohashi,"More than a Married Couple, but Not Lovers.",23.10.2023,13:10,
1902,Bruno Bucciarati,JoJo's Bizarre Adventure: Golden Wind,23.10.2023,13:30,❤️ 220
1903,Tifa Lockhart,Final Fantasy VII,23.10.2023,13:40,❤️ 347
1904,Mugen Miura,D_Cide Traumerei,23.10.2023,14:00,
1905,Shiori Itsuka,Date a Live,23.10.2023,14:10,
1906,Kiba,Wolf's Rain,23.10.2023,14:30,
1907,Saber,Fate/Prototype,23.10.2023,14:40,
1908,Mio Miyamasu,Over the Sky,23.10.2023,15:00,
1909,Marie Rose,Dead or Alive 5 Ultimate Arcade,23.10.2023,15:10,
1910,Heat Princess,Love After World Domination,23.10.2023,15:30,
1911,Shoutarou Futaba,Bakuten!!,23.10.2023,15:40,
1912,Emera,She Professed Herself Pupil of the Wise Man,23.10.2023,16:00,
1913,Yukari Hayasaka,Paradise Kiss,23.10.2023,16:10,
1914,Qubeley,Mobile Suit Zeta Gundam,23.10.2023,16:30,
1915,Kaguya,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,23.10.2023,16:50,
1916,Alvin,Tales of Xillia,23.10.2023,17:00,
1917,Yujiro Hanma,Baki the Grappler,23.10.2023,17:30,❤️ 213
1918,Shanna,Fire Emblem: The Binding Blade,23.10.2023,17:50,
1919,Rika Kawai,Wonder Egg Priority,23.10.2023,18:00,❤️ 268
1920,Efil,Black Summoner,23.10.2023,18:30,
1921,Hikaru Kusakabe,Doukyuusei,23.10.2023,18:50,
1922,Yuni Irido,My Stepmom's Daughter Is My Ex,23.10.2023,19:00,
1923,Sora,No Game No Life,23.10.2023,19:30,❤️ 278
1924,Honami Ichinose,Classroom of the Elite,23.10.2023,19:50,❤️ 104
1925,Kohane Tsuyuri,xxxHOLiC Kei,23.10.2023,20:20,
1926,Hiroshi Uchiyamada,Great Teacher Onizuka,23.10.2023,20:50,
1927,Suzu Fujibayashi,Tales of Phantasia,23.10.2023,21:10,
1928,Isla,Plastic Memories,23.10.2023,21:40,❤️ 213
1929,Momonga,Overlord,23.10.2023,21:50,❤️ 473
1930,Gwess,JoJo's Bizarre Adventure: Stone Ocean,23.10.2023,22:10,
1931,Kanna Kirishima,Sakura Wars TV,23.10.2023,22:40,
1932,Kaori Miyazono,Your lie in April,23.10.2023,22:50,❤️ 667
1933,Kaguya Shinomiya,Kaguya-sama: Love Is War,23.10.2023,23:30,❤️ 1802
1934,Lilith Bristol,Absolute Duo,23.10.2023,23:40,
1935,Yuzu,Fire Emblem 0 (Cipher),24.10.2023,0:00,
1936,Siesta 410,Umineko: When They Cry,24.10.2023,0:10,
1937,Sina,Sakugan,24.10.2023,0:30,
1938,Daida,Ousama Ranking,24.10.2023,0:40,
1939,Ruti Ragnason,"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside",24.10.2023,1:00,
1940,Akane Segawa,And you thought there is never a girl online?,24.10.2023,1:10,
1941,Ryuuji Korekuni,B-PROJECT: Kodou*Ambitious,24.10.2023,1:30,
1942,Yusuke Oda,Hajime no Ippo: The Fighting!,24.10.2023,1:40,
1943,Fujino Asagami,Kara no Kyoukai 3: Tsuukaku Zanryuu,24.10.2023,2:00,
1944,Armin Arlert,Attack on Titan,24.10.2023,2:10,❤️ 551
1945,Inoue Takina,Lycoris Recoil,24.10.2023,2:30,❤️ 839
1946,Nyantaro,Sarazanmai,24.10.2023,2:50,
1947,Mitsuri Kanroji,Demon Slayer: Kimetsu no Yaiba,24.10.2023,3:00,❤️ 2083
1948,Sakamoto,Haven't You Heard? I'm Sakamoto,24.10.2023,3:20,
1949,Iku Kannazuki,Tsukiuta. The Animation,24.10.2023,3:30,
1950,Calamity Mary,Magical Girl Raising Project,24.10.2023,3:50,
1951,Kisara,Tales of Arise,24.10.2023,4:00,
1952,Nazuna Hiwatashi,Brand New Animal,24.10.2023,4:20,
1953,Rangiku Matsumoto,Bleach,24.10.2023,4:30,❤️ 315
1954,Fubuki,One-Punch Man,24.10.2023,4:50,❤️ 451
1955,Murasaki,Senran Kagura: Shinovi Versus,24.10.2023,5:00,
1956,Dorio,Cyberpunk: Edgerunners,24.10.2023,5:20,
1957,Miyako Godai,Dance Dance Danseur,24.10.2023,5:30,
1958,Tina Sprout,Black Bullet,24.10.2023,5:50,
1959,Malleus Draconia,Twisted Wonderland,24.10.2023,6:40,❤️ 153
1960,Mohamed Tarbarsi,Shaman King,24.10.2023,6:50,
1961,Zhongli,Genshin Impact,24.10.2023,7:10,❤️ 1831
1962,Ririka,#Compass,24.10.2023,7:20,
1963,Leonardo Watch,Blood Blockade Battlefront,24.10.2023,7:40,❤️ 97
1964,Doraemon,Doraemon (1979),24.10.2023,8:10,
1965,Miranjo,Ousama Ranking,24.10.2023,8:20,
1966,Jack Smith,Magic Tree House,24.10.2023,8:40,
1967,Bason,Shaman King,24.10.2023,8:50,
1968,Yuhi Riri,Nijisanji,24.10.2023,9:10,
1969,Alice,Nikke: Goddess of Victory,24.10.2023,9:20,❤️ 101
1970,Masumi Shirase,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,24.10.2023,9:40,
1971,Ayame Himuro,Rikei ga Koi ni Ochita no de Shoumei shitemita,24.10.2023,10:00,
1972,Kanami,Log Horizon,24.10.2023,10:10,
1973,Nodoka Manabe,K-On!,24.10.2023,10:30,
1974,Makoto Oda,Romantic Killer,24.10.2023,10:40,
1975,Reiji Furuhashi,We Never Learn!,24.10.2023,11:00,
1976,Fangmei Xun,Shenmue the Animation,24.10.2023,11:10,
1977,Shigeo Kageyama,Mob Psycho 100,24.10.2023,11:40,❤️ 891
1978,Shigure Kira,Honkai Impact 3rd,24.10.2023,12:00,
1979,Adenela,Cautious Hero: The Hero Is Overpowered but Overly Cautious,24.10.2023,12:10,
1980,Rouji Chante,Mobile Suit Gundam: The Witch from Mercury,24.10.2023,12:30,
1981,Roe 2,Log Horizon 2,24.10.2023,13:00,
1982,Vignette Tsukinose April,Gabriel Dropout,24.10.2023,13:20,
1983,Alexander Volg Zangief,Hajime no Ippo: The Fighting!,24.10.2023,13:30,
1984,Seika Ijichi,Bocchi the Rock!,24.10.2023,13:50,❤️ 81
1985,Eugeo,Sword Art Online: Alicization,24.10.2023,14:00,❤️ 217
1986,Michaelis,Mobile Suit Gundam: The Witch from Mercury,24.10.2023,14:20,
1987,Maria Nanase,D_Cide Traumerei,24.10.2023,14:30,
1988,Char's Zaku II,Mobile Suit Gundam: The Origin,24.10.2023,14:50,
1989,Korra,The Legend of Korra,24.10.2023,15:00,❤️ 305
1990,Kazuma Mikura,Air Gear,24.10.2023,15:20,
1991,Karma Akabane,Assassination Classroom,24.10.2023,15:30,❤️ 473
1992,Sayoko Shinozaki,Code Geass: Lelouch of the Rebellion,24.10.2023,15:50,
1993,Chiaki Nanami,Danganronpa 2: Goodbye Despair,24.10.2023,16:00,❤️ 476
1994,Kasuka Shibutani,DREAM!ing,24.10.2023,16:20,
1995,Kanan Matsuura,Love Live! Sunshine!!,24.10.2023,16:40,
1996,Koyasu Tsubame,Kaguya-sama: Love Is War,24.10.2023,16:50,
1997,Kazuki Yuiga,We Never Learn,24.10.2023,17:10,
1998,Anise Tatlin,Tales of the Abyss,24.10.2023,17:20,
1999,Arata Kishimo,Over the Sky,24.10.2023,17:40,
2000,Mohiro Mikage,Magical Girl Ore,24.10.2023,17:50,
2001,Hiromi Hamaguri,Selection Project,24.10.2023,18:10,
2002,Noa,Granblue Fantasy the Animation Season 2,24.10.2023,18:20,
2003,Sessyoin Kiara,Fate/EXTRA CCC,24.10.2023,18:40,
2004,Kokoro,The Great Jahy Will Not Be Defeated!,24.10.2023,19:10,
2005,Koutarou Watari,Bakuten!!,24.10.2023,19:20,
2006,Halkara,I've Been Killing Slimes for 300 Years and Maxed Out My Level,24.10.2023,19:40,
2007,Pokkle,Hunter x Hunter,24.10.2023,19:50,
2008,Gray Fullbuster,Fairy Tail,24.10.2023,20:10,❤️ 277
2009,Keiko Yukimura,Yu Yu Hakusho,24.10.2023,20:40,
2010,Eiko Teruya,Demon King Daimao,24.10.2023,21:00,
2011,Seven,Scissor Seven,24.10.2023,21:10,❤️ 284
2012,Benio Yonomori,Engaged to the Unidentified,24.10.2023,21:30,
2013,Hinami Fueguchi,Tokyo Ghoul,24.10.2023,21:40,
2014,Tana,Fire Emblem: The Sacred Stones,24.10.2023,22:10,
2015,Elf,Uncle from Another World,24.10.2023,22:30,❤️ 103
2016,Sachi Umino,A Couple of Cuckoos,24.10.2023,22:40,
2017,Broly: BR,Dragon Ball Super Movie: Broly,24.10.2023,23:00,❤️ 241
2018,Blanc,Hyperdimension Neptunia,24.10.2023,23:10,
2019,Firo Prochainezo,Baccano!,24.10.2023,23:30,
2020,Roberto,Monster,24.10.2023,23:50,
2021,Claude von Riegan,Fire Emblem: Three Houses,25.10.2023,0:00,❤️ 100
2022,Koumori,The Detective is Already Dead,25.10.2023,0:20,
2023,Alexa,The Animatrix,25.10.2023,0:30,
2024,Tasuku Uehara,Gamers!,25.10.2023,1:00,
2025,Julia,Nikke: Goddess of Victory,25.10.2023,1:30,
2026,Rook Hunt,Twisted Wonderland,25.10.2023,1:50,
2027,Lady Dimitrescu,Resident Evil Village,25.10.2023,2:00,❤️ 288
2028,Tsubomi Okuwaka,Strawberry Panic,25.10.2023,2:20,
2029,Utsugi Uyu,Holostars,25.10.2023,2:30,
2030,Ronie Arabel,Sword Art Online: Alicization,25.10.2023,2:50,
2031,Nymph,Heaven's Lost Property,25.10.2023,3:10,
2032,Benimaru Shinmon,Fire Force,25.10.2023,3:20,❤️ 541
2033,Muku Sakisaka,A3! Season Spring & Summer,25.10.2023,3:40,
2034,Naruto Uzumaki,Naruto,25.10.2023,3:50,❤️ 3071
2035,Blue-Eyes White Dragon,Yu-Gi-Oh! Duel Monsters,25.10.2023,4:10,❤️ 107
2036,Dark Magician Girl,Yu-Gi-Oh! Duel Monsters,25.10.2023,4:20,❤️ 82
2037,Reborn,REBORN!,25.10.2023,4:40,
2038,Iketeru Daga,Uramichi Oniisan,25.10.2023,4:50,
2039,Reki Kyan,SK8 the Infinity,25.10.2023,5:10,❤️ 357
2040,Lloyd Irving,Tales of Symphonia,25.10.2023,5:20,
2041,Shion Hoshino,World's End Harem,25.10.2023,5:40,
2042,Atena Saotome,Mother of the Goddess' Dormitory,25.10.2023,5:50,
2043,Renee Costa,Mobile Suit Gundam: The Witch from Mercury,25.10.2023,6:10,
2044,March 7th,Honkai: Star Rail,25.10.2023,6:30,❤️ 604
2045,Lisa Imai,BanG Dream!,25.10.2023,6:40,
2046,Albert James Moriarty,Moriarty the Patriot,25.10.2023,7:00,
2047,Chiyo Yumehara,The Disastrous Life of Saiki K.,25.10.2023,7:10,
2048,Chisaki Hiradaira,Nagi no Asukara,25.10.2023,7:30,
2049,Mia Winters,Resident Evil 7: Biohazard,25.10.2023,7:40,
2050,Imu Rifuta,The Disastrous Life of Saiki K. 2nd Season,25.10.2023,8:00,
2051,Quetzalcoatl,Fate/Grand Order,25.10.2023,8:10,
2052,Himiko Toga,My Hero Academia 2,25.10.2023,8:40,❤️ 1043
2053,Yanagi Hanabusa,DREAM!ing,25.10.2023,9:00,
2054,Hosomichi Kudou,Rumble Garanndoll,25.10.2023,9:30,
2055,Gerome,Fire Emblem Awakening,25.10.2023,9:40,
2056,Li Qian,Shi Yi Chang An: Ming Yue Ji Shi You,25.10.2023,10:00,
2057,Kei Tanigawa,Akebi's Sailor Uniform,25.10.2023,10:20,
2058,Zeno,The Genius Prince's Guide to Raising a Nation Out of Debt,25.10.2023,10:30,
2059,Drake,Nikke: Goddess of Victory,25.10.2023,10:50,
2060,Saber,Doraemon: Nobita and the Haunts of Evil,25.10.2023,11:20,
2061,Akua Aino,Love Tyrant,25.10.2023,11:30,
2062,Garcia Lovelace,Black Lagoon,25.10.2023,11:50,
2063,Mayaka Ibara,Hyouka,25.10.2023,12:00,
2064,Chris Yukine,Symphogear,25.10.2023,12:20,
2065,Lowellmina Earthwold,The Genius Prince's Guide to Raising a Nation Out of Debt,25.10.2023,12:30,
2066,Rikka,Holostars,25.10.2023,12:50,
2067,Tsumugi Tsukioka,A3! Season Autumn & Winter,25.10.2023,13:00,
2068,Imu,Senran Kagura: Shinovi Versus,25.10.2023,13:20,
2069,Marta Lualdi,Tales of Symphonia: Dawn of the New World,25.10.2023,13:40,
2070,Blake Belladonna,RWBY,25.10.2023,13:50,❤️ 146
2071,Azura,Fire Emblem Fates,25.10.2023,14:10,
2072,Bon Clay,One Piece,25.10.2023,14:20,❤️ 117
2073,Diesel,Nikke: Goddess of Victory,25.10.2023,14:40,
2074,Vishos,How NOT to Summon a Demon Lord Omega,25.10.2023,14:50,
2075,Elulu,Cautious Hero: The Hero Is Overpowered but Overly Cautious,25.10.2023,15:10,
2076,Youth,Birdie Wing: Golf Girls' Story,25.10.2023,15:20,
2077,Yuki,IDOLiSH7,25.10.2023,15:40,
2078,Honami Mochizuki,Project SEKAI COLORFUL STAGE! feat. Hatsune Miku,25.10.2023,15:50,❤️ 83
2079,Luna,Dead or Alive Xtreme Venus Vacation,25.10.2023,16:10,
2080,Kisara,Engage Kiss,25.10.2023,16:20,❤️ 83
2081,Uruha Rushia,Hololive: Holo no Graffiti,25.10.2023,16:40,❤️ 287
2082,Doshi,"BASTARD!! -Heavy Metal, Dark Fantasy-",25.10.2023,17:00,
2083,Ear,Vinland Saga,25.10.2023,17:10,
2084,Kaiman,Dorohedoro,25.10.2023,17:30,❤️ 97
2085,Medhimama,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,25.10.2023,17:40,
2086,Reines El-Melloi Archisorte,Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note,25.10.2023,18:00,
2087,Rita,Campfire Cooking in Another World with My Absurd Skill,25.10.2023,18:10,
2088,Leia Rolando,Tales of Xillia,25.10.2023,18:30,
2089,Vivy,Vivy: Fluorite Eye's Song,25.10.2023,18:40,❤️ 308
2090,George de Sand,Mobile Fighter G Gundam,25.10.2023,19:00,
2091,Gunnar,Vinland Saga,25.10.2023,19:10,
2092,Howl,Howl's Moving Castle,25.10.2023,19:30,❤️ 785
2093,Kurumi Shiratori,D4DJ First Mix,25.10.2023,19:40,
2094,Kanade Tachibana,Angel Beats!,25.10.2023,20:00,❤️ 216
2095,Yuki Sohma,Fruits Basket,25.10.2023,20:20,❤️ 150
2096,You Hazuki,Tsukiuta. The Animation,25.10.2023,20:30,
2097,Nautilus,Sword Art Online Movie: Ordinal Scale,25.10.2023,20:50,
2098,Kaoru Kamiya,Rurouni Kenshin,25.10.2023,21:00,
2099,Yagyu Tajima-no-Kami Munenori,Fate/Grand Order,25.10.2023,21:20,
2100,Yuzuru Yamai,Date a Live II,25.10.2023,21:30,
2101,Kagome Byakudan,Strawberry Panic,25.10.2023,21:50,
2102,Sophia,Doraemon: Nobita's Great Mermaid Naval Battle,25.10.2023,22:00,
2103,Suzuya Aki,Nijisanji,25.10.2023,22:20,
2104,Dorothy,Nikke: Goddess of Victory,25.10.2023,22:20,
2105,Donny,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,25.10.2023,22:20,
2106,Leon,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,25.10.2023,22:20,
2107,Nick,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,25.10.2023,22:20,
2108,Zem,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,25.10.2023,22:20,
2109,Chapel Nun,Revenger,25.10.2023,22:20,
2110,Raizou Kurima,Revenger,25.10.2023,22:20,
2111,Cecilio Astiria,The Reincarnation of the Strongest Exorcist in Another World,25.10.2023,22:20,
2112,Fiona Urd Aleglife,The Reincarnation of the Strongest Exorcist in Another World,25.10.2023,22:20,
2113,Gull Galeos,The Reincarnation of the Strongest Exorcist in Another World,25.10.2023,22:20,
2114,Seika Lamprouge,The Reincarnation of the Strongest Exorcist in Another World,25.10.2023,22:20,
2115,Yifa,The Reincarnation of the Strongest Exorcist in Another World,25.10.2023,22:20,
2116,Beatrix,Granblue Fantasy,25.10.2023,22:30,
2117,Balalaika,Black Lagoon,25.10.2023,22:50,
2118,Maria Bradley,The Iceblade Sorcerer Shall Rule the World,25.10.2023,23:00,
2119,Yuri Kellerne,Mobile Suit Gundam 08th MS Team,25.10.2023,23:20,
2120,Siesta,The Detective is Already Dead,25.10.2023,23:30,❤️ 866
2121,Silver,Twisted Wonderland,25.10.2023,23:50,
2122,Alicia Cristela,How NOT to Summon a Demon Lord,26.10.2023,0:10,
2123,Seyrarm Munzer,Shaman King,26.10.2023,0:20,
2124,Mikako Satsukitane,Heaven's Lost Property,26.10.2023,0:40,
2125,Rin Hoshizora,Love Live! School Idol Project,26.10.2023,0:50,
2126,Io Euclase,Granblue Fantasy the Animation,26.10.2023,1:10,
2127,Rena Mouri,D_Cide Traumerei,26.10.2023,1:20,
2128,Elysia,Honkai Impact 3rd,26.10.2023,1:40,❤️ 568
2129,Mosuke,Shaman King,26.10.2023,1:50,
2130,Shiro Inukai,Orient,26.10.2023,2:10,
2131,Kazuhiko Sakuragi,The Yakuza's Guide to Babysitting,26.10.2023,2:20,
2132,L'Arachel,Fire Emblem: The Sacred Stones,26.10.2023,2:50,
2133,Rika Orimoto,Jujutsu Kaisen 0,26.10.2023,3:10,❤️ 121
2134,Kaoru Sakurayashiki,SK8 the Infinity,26.10.2023,3:30,❤️ 178
2135,Master,Reincarnated as a Sword,26.10.2023,3:40,
2136,Xiao,Genshin Impact,26.10.2023,4:00,❤️ 1995
2137,Ryuunosuke Fujinami,Urusei Yatsura,26.10.2023,4:10,
2138,Mia,Fire Emblem: Path of Radiance,26.10.2023,4:30,
